"twitter account","LABEL","Valid","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"nytimes","realnews","Yes","Where the conversation begins. Follow for breaking news, special reports, RTs of our journalists and more from https://t.co/YapuoqX0HS.",278192,36880081,14870,894,"http://t.co/ahvuWqicF9","The New York Times","2007-03-02T20:41:42Z","FALSE","TRUE","nytimes","New York City","en",807095,189381,"FALSE","http://pbs.twimg.com/profile_images/856562742563663872/cl1sRx2G_normal.jpg"
"WSJ","realnews","Yes","Breaking news and features from the WSJ.",199900,13992469,1292,1069,"https://t.co/GhhR6PLfem","Wall Street Journal","2007-04-01T06:22:13Z","FALSE","TRUE","WSJ","New York, NY","en",3108351,105746,"FALSE","http://pbs.twimg.com/profile_images/685113343204585473/jV72Zljq_normal.jpg"
"washingtonpost","realnews","Yes","Tweet-length breaking news, analysis from around the world. Founded in 1877. Follow our journalists on Twitter: https://t.co/VV0UBAMHg8",223660,10105053,4524,1348,"http://t.co/Hq7hTYkOPg","Washington Post","2007-03-27T11:19:39Z","FALSE","TRUE","washingtonpost","Washington, DC","en",2467791,79426,"FALSE","http://pbs.twimg.com/profile_images/753656134565785600/iQ1GX-ov_normal.jpg"
"BBCWorld","realnews","Yes","News, features and analysis from the World's newsroom. Breaking news, follow @BBCBreaking. UK news, @BBCNews. Latest sports news @BBCSport",256129,19718245,7,83,"https://t.co/7NEgoMwJy3","BBC News (World)","2007-02-01T07:44:29Z","FALSE","TRUE","BBCWorld","London, UK","en",742143,103970,"FALSE","http://pbs.twimg.com/profile_images/694449140269518848/57ZmXva0_normal.jpg"
"TheEconomist","realnews","Yes","News and analysis with a global perspective.  Subscribe here: https://t.co/owztJzwlmm",107201,20712092,302,159,"https://t.co/pN0OAmG4SP","The Economist","2007-05-12T13:04:50Z","FALSE","TRUE","TheEconomist","London","en",5988062,108448,"FALSE","http://pbs.twimg.com/profile_images/461499742950678528/2JnpHjUo_normal.png"
"NewYorker","realnews","Yes","The New Yorker is a weekly magazine with a mix of reporting on politics and culture, humor and cartoons, fiction and poetry, and reviews and criticism.",55656,7699840,1456,394,"http://t.co/RJjEvb2dV6","The New Yorker","2008-05-06T19:36:33Z","FALSE","TRUE","NewYorker","New York, NY","en",14677919,61797,"FALSE","http://pbs.twimg.com/profile_images/421413599441981441/GMZ5UIRl_normal.jpeg"
"AP","realnews","Yes","News from The Associated Press, and a taste of the great journalism produced by AP members and customers. Managed 24/7 by these editors: https://t.co/D0hLCc7ShX",176134,10779376,57,7250,"https://t.co/48pFaJVRcr","The Associated Press","2009-06-26T21:48:52Z","FALSE","TRUE","AP","Global","en",51241574,87148,"FALSE","http://pbs.twimg.com/profile_images/461964160838803457/8z9FImcv_normal.png"
"Reuters","realnews","Yes","Top and breaking news, pictures, and videos from Reuters.",188322,17771700,814,1050,"http://t.co/BmHxhkm3Mh","Reuters Top News","2007-03-20T17:46:05Z","FALSE","TRUE","Reuters","Around the world","en",1652541,110418,"FALSE","http://pbs.twimg.com/profile_images/860521074500411392/YmcCatom_normal.jpg"
"business","realnews","Yes","The first word in business news.",238705,3949236,323,1006,"http://t.co/YFISwy1upH","Bloomberg","2009-04-23T20:05:17Z","FALSE","TRUE","business","New York and the World","en",34713362,44232,"FALSE","http://pbs.twimg.com/profile_images/714946924105883648/4fgNVF4H_normal.jpg"
"ForeignAffairs","realnews","Yes","In-depth insight and analysis on international affairs and U.S. foreign policy since 1922.",28218,594556,167,2189,"http://t.co/wn1xhyjt","Foreign Affairs","2009-02-17T18:31:24Z","FALSE","TRUE","ForeignAffairs","New York, NY","en",21114659,11874,"FALSE","http://pbs.twimg.com/profile_images/472450440747962369/mUbM-DPs_normal.jpeg"
