_id,user_id,account_id,submittedTime,currentTimeString,responses,verifyRadios,socialRadios,tweetRateRadios,fairnessRadios,entityRadios,fearRadios,opiniatedRadios,accounts-importance,network-importance,tweets-importance,geo-importance,entity-importance,confidence,commentBox
596ce9007713f633198473e4,TD-1,48,1500309781845,2017-07-17T16:43:01.845Z,"[{'name': 'verifyRadios', 'value': 'real'}, {'name': 'socialRadios', 'value': '1'}, {'name': 'tweetRateRadios', 'value': '0'}, {'name': 'fairnessRadios', 'value': '0'}, {'name': 'entityRadios', 'value': '0'}, {'name': 'fearRadios', 'value': '1'}, {'name': 'opiniatedRadios', 'value': '0'}, {'name': 'accounts-importance', 'value': '5'}, {'name': 'network-importance', 'value': '3'}, {'name': 'tweets-importance', 'value': '6'}, {'name': 'geo-importance', 'value': '1'}, {'name': 'entity-importance', 'value': '4'}, {'name': 'confidence', 'value': '4'}, {'name': 'commentBox', 'value': ''}]",real,1,0,0,0,1,0,5,3,6,1,4,4,
596ce92c7713f6331984740e,TD-2,04,1500309824720,2017-07-17T16:43:44.720Z,"[{'name': 'verifyRadios', 'value': 'real'}, {'name': 'socialRadios', 'value': '1'}, {'name': 'tweetRateRadios', 'value': '1'}, {'name': 'fairnessRadios', 'value': '0'}, {'name': 'entityRadios', 'value': '0'}, {'name': 'fearRadios', 'value': '0'}, {'name': 'opiniatedRadios', 'value': '0'}, {'name': 'accounts-importance', 'value': '6'}, {'name': 'network-importance', 'value': '5'}, {'name': 'tweets-importance', 'value': '1'}, {'name': 'geo-importance', 'value': '1'}, {'name': 'entity-importance', 'value': '6'}, {'name': 'confidence', 'value': '4'}, {'name': 'commentBox', 'value': ''}]",real,1,1,0,0,0,0,6,5,1,1,6,4,
596ce9d67713f633198474e9,TD-2,02,1500309994581,2017-07-17T16:46:34.581Z,"[{'name': 'verifyRadios', 'value': 'fake'}, {'name': 'socialRadios', 'value': '1'}, {'name': 'tweetRateRadios', 'value': '0'}, {'name': 'fairnessRadios', 'value': '0'}, {'name': 'entityRadios', 'value': '1'}, {'name': 'fearRadios', 'value': '1'}, {'name': 'opiniatedRadios', 'value': '0'}, {'name': 'accounts-importance', 'value': '6'}, {'name': 'network-importance', 'value': '4'}, {'name': 'tweets-importance', 'value': '6'}, {'name': 'geo-importance', 'value': '4'}, {'name': 'entity-importance', 'value': '4'}, {'name': 'confidence', 'value': '4'}, {'name': 'commentBox', 'value': ''}]",fake,1,0,0,1,1,0,6,4,6,4,4,4,
596cea087713f6331984751c,TD-1,56,1500310046795,2017-07-17T16:47:26.795Z,"[{'name': 'verifyRadios', 'value': 'real'}, {'name': 'socialRadios', 'value': '0'}, {'name': 'tweetRateRadios', 'value': '0'}, {'name': 'fairnessRadios', 'value': '1'}, {'name': 'entityRadios', 'value': '0'}, {'name': 'fearRadios', 'value': '0'}, {'name': 'opiniatedRadios', 'value': '0'}, {'name': 'accounts-importance', 'value': '3'}, {'name': 'network-importance', 'value': '5'}, {'name': 'tweets-importance', 'value': '6'}, {'name': 'geo-importance', 'value': '4'}, {'name': 'entity-importance', 'value': '2'}, {'name': 'confidence', 'value': '5'}, {'name': 'commentBox', 'value': ''}]",real,0,0,1,0,0,0,3,5,6,4,2,5,
596ceaad7713f6331984759f,TD-1,59,1500310210891,2017-07-17T16:50:10.891Z,"[{'name': 'verifyRadios', 'value': 'fake'}, {'name': 'socialRadios', 'value': '1'}, {'name': 'tweetRateRadios', 'value': '1'}, {'name': 'fairnessRadios', 'value': '0'}, {'name': 'entityRadios', 'value': '1'}, {'name': 'fearRadios', 'value': '1'}, {'name': 'opiniatedRadios', 'value': '1'}, {'name': 'accounts-importance', 'value': '4'}, {'name': 'network-importance', 'value': '3'}, {'name': 'tweets-importance', 'value': '7'}, {'name': 'geo-importance', 'value': '2'}, {'name': 'entity-importance', 'value': '5'}, {'name': 'confidence', 'value': '7'}, {'name': 'commentBox', 'value': 'Hashtag heavy. Lots of all caps. Tweets repeating the same information over and over.'}]",fake,1,1,0,1,1,1,4,3,7,2,5,7,Hashtag heavy. Lots of all caps. Tweets repeating the same information over and over.
596cead17713f633198475e6,TD-2,39,1500310245929,2017-07-17T16:50:45.929Z,"[{'name': 'verifyRadios', 'value': 'fake'}, {'name': 'socialRadios', 'value': '1'}, {'name': 'tweetRateRadios', 'value': '1'}, {'name': 'fairnessRadios', 'value': '0'}, {'name': 'entityRadios', 'value': '1'}, {'name': 'fearRadios', 'value': '1'}, {'name': 'opiniatedRadios', 'value': '1'}, {'name': 'accounts-importance', 'value': '6'}, {'name': 'network-importance', 'value': '2'}, {'name': 'tweets-importance', 'value': '5'}, {'name': 'geo-importance', 'value': '4'}, {'name': 'entity-importance', 'value': '3'}, {'name': 'confidence', 'value': '2'}, {'name': 'commentBox', 'value': ''}]",fake,1,1,0,1,1,1,6,2,5,4,3,2,
596ceb947713f633198476d0,TD-1,71,1500310442162,2017-07-17T16:54:02.162Z,"[{'name': 'verifyRadios', 'value': 'real'}, {'name': 'socialRadios', 'value': '0'}, {'name': 'tweetRateRadios', 'value': '0'}, {'name': 'fairnessRadios', 'value': '0'}, {'name': 'entityRadios', 'value': '0'}, {'name': 'fearRadios', 'value': '0'}, {'name': 'opiniatedRadios', 'value': '0'}, {'name': 'accounts-importance', 'value': '5'}, {'name': 'network-importance', 'value': '3'}, {'name': 'tweets-importance', 'value': '6'}, {'name': 'geo-importance', 'value': '5'}, {'name': 'entity-importance', 'value': '5'}, {'name': 'confidence', 'value': '5'}, {'name': 'commentBox', 'value': ''}]",real,0,0,0,0,0,0,5,3,6,5,5,5,
596cebd47713f63319847721,TD-2,48,1500310504352,2017-07-17T16:55:04.352Z,"[{'name': 'verifyRadios', 'value': 'fake'}, {'name': 'socialRadios', 'value': '1'}, {'name': 'tweetRateRadios', 'value': '1'}, {'name': 'fairnessRadios', 'value': '0'}, {'name': 'entityRadios', 'value': '0'}, {'name': 'fearRadios', 'value': '1'}, {'name': 'opiniatedRadios', 'value': '1'}, {'name': 'accounts-importance', 'value': '3'}, {'name': 'network-importance', 'value': '5'}, {'name': 'tweets-importance', 'value': '6'}, {'name': 'geo-importance', 'value': '6'}, {'name': 'entity-importance', 'value': '5'}, {'name': 'confidence', 'value': '3'}, {'name': 'commentBox', 'value': ''}]",fake,1,1,0,0,1,1,3,5,6,6,5,3,
596cec637713f633198477bd,TD-2,56,1500310647430,2017-07-17T16:57:27.430Z,"[{'name': 'verifyRadios', 'value': 'real'}, {'name': 'socialRadios', 'value': '1'}, {'name': 'tweetRateRadios', 'value': '0'}, {'name': 'fairnessRadios', 'value': '1'}, {'name': 'entityRadios', 'value': '1'}, {'name': 'fearRadios', 'value': '1'}, {'name': 'opiniatedRadios', 'value': '0'}, {'name': 'accounts-importance', 'value': '6'}, {'name': 'network-importance', 'value': '4'}, {'name': 'tweets-importance', 'value': '6'}, {'name': 'geo-importance', 'value': '1'}, {'name': 'entity-importance', 'value': '6'}, {'name': 'confidence', 'value': '5'}, {'name': 'commentBox', 'value': ''}]",real,1,0,1,1,1,0,6,4,6,1,6,5,
596cecac7713f63319847814,TD-1,83,1500310722145,2017-07-17T16:58:42.145Z,"[{'name': 'verifyRadios', 'value': 'real'}, {'name': 'socialRadios', 'value': '1'}, {'name': 'tweetRateRadios', 'value': '0'}, {'name': 'fairnessRadios', 'value': '0'}, {'name': 'entityRadios', 'value': '0'}, {'name': 'fearRadios', 'value': '0'}, {'name': 'opiniatedRadios', 'value': '0'}, {'name': 'accounts-importance', 'value': '6'}, {'name': 'network-importance', 'value': '3'}, {'name': 'tweets-importance', 'value': '5'}, {'name': 'geo-importance', 'value': '5'}, {'name': 'entity-importance', 'value': '5'}, {'name': 'confidence', 'value': '5'}, {'name': 'commentBox', 'value': 'This didn\'t seem so much like a ""fake"" news account so much as a sensationalist single-issue account that\'s pretending not to be. There were all caps, but the language wasn\'t opinionated. Just a /lot/ of passion about oil.'}]",real,1,0,0,0,0,0,6,3,5,5,5,5,"This didn't seem so much like a ""fake"" news account so much as a sensationalist single-issue account that's pretending not to be. There were all caps, but the language wasn't opinionated. Just a /lot/ of passion about oil."
